科室,排名,医院名称,官网URL,省份,城市
口腔科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
口腔科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
口腔科,获提名,上海和睦家医院,,上海,上海
口腔科,获提名,苏州口腔医院,,江苏,苏州
泌尿外科,1,上海交通大学医学院附属,https://www.rjh.com.cn/,上海,上海
泌尿外科,2,仁济医院,https://www.renji.com/,,
泌尿外科,3,复旦大学附属中山医院,https://www.zs-hospital.sh.cn/,广东,中山
泌尿外科,4,海军军医大学第一附属医院,,,
泌尿外科,5,复旦大学附属华山医院,https://www.huashan.org.cn/,,
泌尿外科,6,浙江大学医学院附属第一医院,https://www.zy91.com/,浙江,
泌尿外科,7,上海交通大学医学院附属瑞金医院,https://www.rjh.com.cn/,上海,上海
泌尿外科,8,安徽医科大学第一附属医院,https://www.ayfy.com/,安徽,
泌尿外科,9,浙江大学医学院附属第二医院,https://www.z2hospital.com/,浙江,
泌尿外科,10,江苏省人民医院,https://www.jsph.org.cn/,江苏,
泌尿外科,获提名,（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
泌尿外科,获提名,南京大学医学院附属鼓楼医院,https://www.njglyy.com/,江苏,南京
泌尿外科,获提名,山东第一医科大学附属省立医院（山东省立医院,https://www.sph.com.cn/,山东,
泌尿外科,获提名,福建医科大学附属协和医院,https://www.fjxiehe.com/,福建,
泌尿外科,获提名,海军军医大学第二附属医院,,,
泌尿外科,获提名,福建省立医院,https://www.fjsl.com.cn/,福建,
泌尿外科,获提名,江苏省人民医院（南京医科大学第一附属医院,https://www.jsph.org.cn/,江苏,南京
泌尿外科,获提名,山东大学齐鲁医院,https://www.qiluhospital.com/,山东,
泌尿外科,获提名,中国科学技术大学附属第一医院（安徽省立医院,https://www.ahslyy.com.cn/,安徽,
泌尿外科,获提名,上海交通大学医学院附属第九人民医院,https://www.9hospital.com.cn/,上海,上海
泌尿外科,获提名,南昌大学第一附属医院,https://www.cdyfy.com/,江西,南昌
泌尿外科,获提名,福建医科大学附属第一医院,https://www.fyyy.com/,福建,
泌尿外科,获提名,苏州大学附属第一医院,,江苏,苏州
泌尿外科,获提名,安徽医科大学第二附属医院,https://www.ay2fy.com/,安徽,
泌尿外科,获提名,温州医科大学附属第二医院,,浙江,温州
泌尿外科,获提名,徐州医科大学附属医院,,江苏,徐州
泌尿外科,获提名,上海市第一人民医院,https://www.firsthospital.cn/,上海,上海
