科室,排名,医院名,官网URL
心血管,4,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
心血管,5,中山大学孙逸仙纪念医院,
心血管,获提名医院,海南省人民医院,
心血管,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
心血管,获提名医院,中国医学科学院阜外医院深圳医院,
心血管,获提名医院,中国人民解放军南部战区总医院,
心血管,获提名医院,海南医科大学第一附属医院,
心血管,获提名医院,深圳市人民医院,https://www.szhospital.com/
心血管,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
心血管,获提名医院,广西壮族自治区人民医院,
心血管,获提名医院,中山大学附属第三医院,https://www.zssy.com.cn/
心外科,1,广东省人民医院,https://www.gdghospital.org.cn/
心外科,2,中山大学附属第一医院,
心外科,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
心外科,4,中国人民解放军南部战区总医院,
心外科,5,中国医学科学院阜外医院深圳医院,
心外科,获提名医院,南方医科大学南方医院,https://www.nfyy.com/
心外科,获提名医院,广州市妇女儿童医疗中心,
心外科,获提名医院,中山大学孙逸仙纪念医院,
心外科,获提名医院,广西壮族自治区人民医院,
心外科,获提名医院,高州市人民医院,
心外科,获提名医院,海南省人民医院,
心外科,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
心外科,获提名医院,深圳市人民医院,https://www.szhospital.com/
心外科,获提名医院,广东省妇幼保健院,
心外科,获提名医院,广州市第一人民医院,
胸外科,1,广州医科大学附属第一医院,https://www.gyfyy.com/
胸外科,2,中山大学肿瘤防治中心,
胸外科,3,广东省人民医院,https://www.gdghospital.org.cn/
胸外科,4,南方医科大学南方医院,
胸外科,5,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
胸外科,获提名医院,中山大学附属第一医院,
胸外科,获提名医院,海南省人民医院,
胸外科,获提名医院,中国医学科学院肿瘤医院深圳医院,https://www.cicams.ac.cn/
血液学,1,南方医科大学南方医院,
血液学,2,中山大学附属第一医院,
血液学,3,广西医科大学第一附属医院,https://www.gxmuyfy.cn/
血液学,4,广东省人民医院,https://www.gdghospital.org.cn/
血液学,5,海南省人民医院,
血液学,获提名医院,南方医科大学珠江医院,https://www.zjyy.com.cn/
血液学,获提名医院,中山大学肿瘤防治中心,
血液学,获提名医院,广州市第一人民医院,
血液学,获提名医院,暨南大学附属第一医院（广州华侨医院）,https://www.jd120.com/
血液学,获提名医院,深圳市人民医院,https://www.szhospital.com/
血液学,获提名医院,广州医科大学附属第一医院,https://www.gyfyy.com/
血液学,获提名医院,深圳大学总医院,
血液学,获提名医院,中山大学附属第七医院,
血液学,获提名医院,中山大学孙逸仙纪念医院,
血液学,获提名医院,海南医科大学第一附属医院,
